"open","high","low","close","volume","adjusted","mean","returns","date"
2942.800049,2996.399902,2941.399902,2988.399902,739275,2988.399902,2967.24993875,0.00794874117495249,"2020-02-20"
2970.199951,2996,2910.600098,2911.800049,646752,2911.800049,2947.1500245,-0.00677392018363908,"2020-02-21"
2800,2869.800049,2672.600098,2681.800049,2316726,2681.800049,2756.050049,-0.0648422964258228,"2020-02-25"
2661.600098,2704.800049,2538.399902,2690.800049,2321091,2690.800049,2648.9000245,-0.0388781127319797,"2020-02-26"
2666,2744.399902,2620.399902,2678.199951,1666401,2678.199951,2677.24993875,0.0107025233069533,"2020-02-27"
2622,2686,2540.199951,2659.800049,1467113,2659.800049,2627,-0.0187692370528027,"2020-02-28"
2749.800049,2762.800049,2615.199951,2721.399902,1292874,2721.399902,2712.29998775,0.032470494004568,"2020-03-02"
2745,2784.800049,2701.399902,2723,972855,2723,2738.54998775,0.00967813299360584,"2020-03-03"
2680,2708.800049,2632.600098,2654.199951,698834,2654.199951,2668.9000245,-0.0254331538812717,"2020-03-04"
2755,2755,2643.199951,2728.199951,911088,2728.199951,2720.3499755,0.0192775864692194,"2020-03-05"
2700.800049,2711.800049,2556,2685,1007226,2685,2663.4000245,-0.0209347883591828,"2020-03-06"
2509.199951,2757.800049,2500,2590,1513950,2590,2589.25,-0.0278403633768532,"2020-03-10"
2616.800049,2640,2520,2615,913216,2615,2597.95001225,0.00336005107656652,"2020-03-11"
2559.800049,2560,2350,2460,1547961,2460,2482.45001225,-0.0444581302393764,"2020-03-12"
2460,2460,2460,2460,0,2460,2460,-0.00904349015658608,"2020-03-13"
2460,2460,2460,2460,0,2460,2460,0,"2020-03-16"
2312.800049,2438.800049,2257,2425,1079881,2425,2358.4000245,-0.0413008030487806,"2020-03-17"
2357,2400,2251,2318.800049,1289880,2318.800049,2331.70001225,-0.0113212398120037,"2020-03-18"
2346.800049,2464.399902,2273.199951,2434,1510071,2434,2379.5999755,0.0205429356256591,"2020-03-19"
2482.600098,2593.399902,2414,2455.199951,1336561,2455.199951,2486.29998775,0.0448394744278732,"2020-03-20"
2368.600098,2494.399902,2295,2299.800049,1234866,2299.800049,2364.45001225,-0.0490085573343342,"2020-03-23"
2363,2489,2363,2459,1075475,2459,2418.5,0.0228594334707742,"2020-03-24"
2550,2595,2480.199951,2555.800049,1346952,2555.800049,2545.25,0.0524085176762456,"2020-03-25"
2584,2640,2505,2610,1170937,2610,2584.75,0.0155191042137315,"2020-03-26"
2650,2668,2552.600098,2597,800030,2597,2616.9000245,0.0124383497436888,"2020-03-27"
2577.199951,2678.800049,2577,2670.199951,660170,2670.199951,2625.79998775,0.00340095653891129,"2020-03-30"
2700,2749.399902,2647,2714.399902,815976,2714.399902,2702.699951,0.0292862988836762,"2020-03-31"
2652,2679.600098,2591,2605.800049,763626,2605.800049,2632.10003675,-0.0261219948680866,"2020-04-01"
2621,2650,2493.800049,2550.800049,1105528,2550.800049,2578.9000245,-0.020212002396265,"2020-04-02"
2540.199951,2584,2514.399902,2520,917226,2520,2539.64996325,-0.0152196909058581,"2020-04-03"
2566.399902,2609,2536.199951,2582,788118,2582,2573.39996325,0.0132892329605967,"2020-04-06"
2609,2695,2602.199951,2668,912075,2668,2643.54998775,0.0272596663953497,"2020-04-07"
2622,2742.600098,2600.199951,2742.600098,758477,2742.600098,2676.85003675,0.0125967162165685,"2020-04-08"
2724.800049,2755.800049,2661.199951,2697.199951,1047151,2697.199951,2709.75,0.012290551505808,"2020-04-09"
2705.600098,2705.600098,2671.600098,2701,263041,2701,2695.9500735,-0.0050926936064212,"2020-04-10"
2659.600098,2688,2623.199951,2659,350747,2659,2657.45001225,-0.0142807026096065,"2020-04-13"
2698.800049,2782.399902,2687.600098,2755.600098,910209,2755.600098,2731.10003675,0.0277145474648618,"2020-04-14"
2718.600098,2719.800049,2584.399902,2588.199951,777641,2588.199951,2652.75,-0.0286880874723419,"2020-04-15"
2603,2680,2570.199951,2637.800049,709630,2637.800049,2622.75,-0.0113090189426067,"2020-04-16"
2659.600098,2668.800049,2620.199951,2630.399902,462419,2630.399902,2644.75,0.0083881422171385,"2020-04-17"
2670,2746,2642,2736.399902,867166,2736.399902,2698.5999755,0.0203610834672465,"2020-04-20"
2681.600098,2695.399902,2601,2659.199951,1020412,2659.199951,2659.29998775,-0.014563102388941,"2020-04-21"
2643,2706.800049,2631.199951,2655,786098,2655,2659,-0.000112807036205774,"2020-04-22"
2666,2677,2621.399902,2640.600098,506952,2640.600098,2651.25,-0.00291462955998496,"2020-04-23"
2634.399902,2655,2606.600098,2621,404824,2621,2629.25,-0.0082979726544083,"2020-04-24"
2651.600098,2715,2647,2715,793139,2715,2682.1500245,0.0201198153465816,"2020-04-27"
2730.199951,2856.800049,2716.399902,2754.800049,1304030,2754.800049,2764.54998775,0.0307216085965815,"2020-04-28"
2807,2874,2775.399902,2870,779540,2870,2831.5999755,0.0242534908202439,"2020-04-29"
2898,2924,2812.199951,2850.800049,746737,2850.800049,2871.25,0.0140026927684227,"2020-04-30"
2809.800049,2848.800049,2777,2828.800049,415030,2828.800049,2816.10003675,-0.0192076493687418,"2020-05-04"
2849,2876.800049,2831,2842.199951,353462,2842.199951,2849.75,0.0119491363271436,"2020-05-05"
2849.199951,2883.199951,2830.199951,2864,376937,2864,2856.64996325,0.00242125212737957,"2020-05-06"
2869,2918.800049,2858,2910.199951,430103,2910.199951,2889,0.0113244664786285,"2020-05-07"
2979.199951,2992,2933,2975.199951,473580,2975.199951,2969.8499755,0.0279854536171687,"2020-05-08"
2968.199951,2979.800049,2927,2977,278997,2977,2963,-0.002306505566446,"2020-05-12"
2959,2959,2890.600098,2893.399902,511932,2893.399902,2925.5,-0.0126560917988525,"2020-05-13"
2875,2883,2785.800049,2821.800049,559421,2821.800049,2841.4000245,-0.0287472143223381,"2020-05-14"
2856.800049,2894,2795.800049,2839.600098,519556,2839.600098,2846.550049,0.00181249540916241,"2020-05-15"
2885.399902,2947,2870.399902,2945,481638,2945,2911.949951,0.0229751456585052,"2020-05-18"
2975.199951,2980,2923.600098,2970,341141,2970,2962.20001225,0.0172564989424847,"2020-05-19"
2956.800049,3000,2941,2964.600098,511103,2964.600098,2965.60003675,0.00114780382348916,"2020-05-20"
2942,2960,2895,2910.800049,505101,2910.800049,2926.95001225,-0.0130327839294056,"2020-05-21"
2887.600098,2938.800049,2880.600098,2905,337096,2905,2903.00006125,-0.00818256236005523,"2020-05-22"
2914.199951,2962,2908.199951,2960.600098,259047,2960.600098,2936.25,0.0114536472781482,"2020-05-25"
2968.199951,2992.800049,2911.399902,2913.199951,554429,2913.199951,2946.39996325,0.00345677760749253,"2020-05-26"
2905.800049,2942.800049,2817.199951,2826,688788,2826,2872.95001225,-0.0249287102620588,"2020-05-27"
2876.800049,2916.800049,2860.399902,2888,623729,2888,2885.5,0.0043683279195559,"2020-05-28"
2865,2884,2811.600098,2833.199951,530841,2833.199951,2848.45001225,-0.0128400581355052,"2020-05-29"
2849.600098,2869.800049,2814.399902,2846,636311,2846,2844.95001225,-0.00122873843140935,"2020-06-01"
2845,2875,2821.199951,2837.800049,698675,2837.800049,2844.75,-7.03043108450569e-05,"2020-06-02"
2837.199951,2879.600098,2835,2867.600098,667384,2867.600098,2854.85003675,0.00355041277792427,"2020-06-03"
2856,2882,2837,2861.600098,458688,2861.600098,2859.1500245,0.00150620442217513,"2020-06-04"
2871,2911.800049,2850,2884,425169,2884,2879.20001225,0.00701256932241826,"2020-06-05"
2896.600098,2917.800049,2866,2873.199951,364303,2873.199951,2888.4000245,0.00319533627773583,"2020-06-08"
2897,2905,2855,2902,336682,2902,2889.75,0.000467378302364453,"2020-06-09"
2896.199951,2919.399902,2867,2885,352196,2885,2891.89996325,0.000743996279954988,"2020-06-10"
2873,2879.800049,2817.600098,2850,477778,2850,2855.10003675,-0.0127251727126284,"2020-06-11"
2836,2975,2821,2967.399902,799898,2967.399902,2899.8499755,0.015673685045705,"2020-06-15"
